Benchmark Set,Instance Name,Best Known Solution,Relaxed Bound,Optimality Gap (%),Bound From
AFG,rbg010a.tw,671,*,*,Ascheuer et al. (2001)
AFG,rbg016a.tw,938,*,*,Ascheuer et al. (2001)
AFG,rbg016b.tw,1304,*,*,Ascheuer et al. (2001)
AFG,rbg017.2.tw,852,*,*,Ascheuer et al. (2001)
AFG,rbg017.tw,893,*,*,Ascheuer et al. (2001)
AFG,rbg017a.tw,4296,*,*,Ascheuer et al. (2001)
AFG,rbg019a.tw,1262,*,*,Ascheuer et al. (2001)
AFG,rbg019b.tw,1866,*,*,Ascheuer et al. (2001)
AFG,rbg019c.tw,4536,*,*,Ascheuer et al. (2001)
AFG,rbg019d.tw,1356,*,*,Ascheuer et al. (2001)
AFG,rbg020a.tw,4689,*,*,Ascheuer et al. (2001)
AFG,rbg021.2.tw,4528,*,*,Ascheuer et al. (2001)
AFG,rbg021.3.tw,4528,*,*,Ascheuer et al. (2001)
AFG,rbg021.4.tw,4525,*,*,Ascheuer et al. (2001)
AFG,rbg021.5.tw,4515,*,*,Ascheuer et al. (2001)
AFG,rbg021.6.tw,4480,*,*,Ascheuer et al. (2001)
AFG,rbg021.7.tw,4479,*,*,Ascheuer et al. (2001)
AFG,rbg021.8.tw,4478,*,*,Ascheuer et al. (2001)
AFG,rbg021.9.tw,4478,*,*,Ascheuer et al. (2001)
AFG,rbg021.tw,4536,*,*,Ascheuer et al. (2001)
AFG,rbg027a.tw,5091,*,*,Ascheuer et al. (2001)
AFG,rbg031a.tw,1863,*,*,Ascheuer et al. (2001)
AFG,rbg033a.tw,2069,*,*,Ascheuer et al. (2001)
AFG,rbg034a.tw,2222,*,*,Ascheuer et al. (2001)
AFG,rbg035a.2.tw,2056,*,*,Ascheuer et al. (2001)
AFG,rbg035a.tw,2144,*,*,Ascheuer et al. (2001)
AFG,rbg038a.tw,2480,*,*,Ascheuer et al. (2001)
AFG,rbg040a.tw,2378,*,*,Ascheuer et al. (2001)
AFG,rbg041a.tw,2598,*,*,Focacci et al. (2002)
AFG,rbg042a.tw,2772,*,*,Focacci et al. (2002)
AFG,rbg048a.tw,9383,*,*,Baldacci et al. (2012)
AFG,rbg049a.tw,10018,*,*,Kuroiwa and Beck (2023a)
AFG,rbg050a.tw,2953,*,*,Ascheuer et al. (2001)
AFG,rbg050b.tw,9863,*,*,Kuroiwa and Beck (2023a)
AFG,rbg050c.tw,10024,10020.4,0.04,Baldacci et al. (2012)
AFG,rbg055a.tw,3761,*,*,Ascheuer et al. (2001)
AFG,rbg067a.tw,4625,*,*,Ascheuer et al. (2001)
AFG,rbg086a.tw,8400,*,*,Rudich et al. (2023)
AFG,rbg092a.tw,7158,*,*,Rudich et al. (2023)
AFG,rbg125a.tw,7936,*,*,Ascheuer et al. (2001)
AFG,rbg132.2.tw,8191,*,*,Kuroiwa and Beck (2023a)
AFG,rbg132.tw,8468,*,*,Baldacci et al. (2012)
AFG,rbg152.3.tw,9788,9785.2,0.03,Baldacci et al. (2012)
AFG,rbg152.tw,10032,*,*,Baldacci et al. (2012)
AFG,rbg172a.tw,10950,*,*,Baldacci et al. (2012)
AFG,rbg193.2.tw,12139,12136.3,0.02,Baldacci et al. (2012)
AFG,rbg193.tw,12535,*,*,Baldacci et al. (2012)
AFG,rbg201a.tw,12948,*,*,Baldacci et al. (2012)
AFG,rbg233.2.tw,14495,*,*,Baldacci et al. (2012)
AFG,rbg233.tw,14992,*,*,Baldacci et al. (2012)
Dumas,n100w20.001.txt,738,*,*,Dumas et al. (1995)
Dumas,n100w20.002.txt,715,*,*,Dumas et al. (1995)
Dumas,n100w20.003.txt,762,*,*,Dumas et al. (1995)
Dumas,n100w20.004.txt,799,*,*,Dumas et al. (1995)
Dumas,n100w20.005.txt,774,*,*,Dumas et al. (1995)
Dumas,n100w40.001.txt,770,*,*,Dumas et al. (1995)
Dumas,n100w40.002.txt,653,*,*,Dumas et al. (1995)
Dumas,n100w40.003.txt,736,*,*,Dumas et al. (1995)
Dumas,n100w40.004.txt,651,*,*,Dumas et al. (1995)
Dumas,n100w40.005.txt,699,*,*,Dumas et al. (1995)
Dumas,n100w60.001.txt,655,*,*,Kuroiwa and Beck (2023a)
Dumas,n100w60.002.txt,659,*,*,Dumas et al. (1995)
Dumas,n100w60.003.txt,744,*,*,Kuroiwa and Beck (2023a)
Dumas,n100w60.004.txt,764,*,*,Dumas et al. (1995)
Dumas,n100w60.005.txt,661,*,*,Dumas et al. (1995)
Dumas,n150w20.001.txt,925,*,*,Dumas et al. (1995)
Dumas,n150w20.002.txt,864,*,*,Dumas et al. (1995)
Dumas,n150w20.003.txt,834,*,*,Dumas et al. (1995)
Dumas,n150w20.004.txt,873,*,*,Dumas et al. (1995)
Dumas,n150w20.005.txt,846,*,*,Dumas et al. (1995)
Dumas,n150w40.001.txt,918,*,*,Dumas et al. (1995)
Dumas,n150w40.002.txt,941,*,*,Dumas et al. (1995)
Dumas,n150w40.003.txt,727,*,*,Dumas et al. (1995)
Dumas,n150w40.004.txt,764,*,*,Dumas et al. (1995)
Dumas,n150w40.005.txt,824,*,*,Dumas et al. (1995)
Dumas,n150w60.001.txt,859,*,*,Dumas et al. (1995)
Dumas,n150w60.002.txt,782,*,*,Dumas et al. (1995)
Dumas,n150w60.003.txt,793,*,*,Dumas et al. (1995)
Dumas,n150w60.004.txt,819,*,*,Dumas et al. (1995)
Dumas,n150w60.005.txt,840,*,*,Dumas et al. (1995)
Dumas,n200w20.001.txt,1019,*,*,Dumas et al. (1995)
Dumas,n200w20.002.txt,972,*,*,Dumas et al. (1995)
Dumas,n200w20.003.txt,1050,*,*,Dumas et al. (1995)
Dumas,n200w20.004.txt,984,*,*,Dumas et al. (1995)
Dumas,n200w20.005.txt,1020,*,*,Dumas et al. (1995)
Dumas,n200w40.001.txt,1023,*,*,Dumas et al. (1995)
Dumas,n200w40.002.txt,948,*,*,Dumas et al. (1995)
Dumas,n200w40.003.txt,933,*,*,Dumas et al. (1995)
Dumas,n200w40.004.txt,980,*,*,Dumas et al. (1995)
Dumas,n200w40.005.txt,1037,*,*,Dumas et al. (1995)
Dumas,n20w100.001.txt,237,*,*,Dumas et al. (1995)
Dumas,n20w100.002.txt,222,*,*,Dumas et al. (1995)
Dumas,n20w100.003.txt,310,*,*,Dumas et al. (1995)
Dumas,n20w100.004.txt,349,*,*,Dumas et al. (1995)
Dumas,n20w100.005.txt,258,*,*,Dumas et al. (1995)
Dumas,n20w20.001.txt,378,*,*,Dumas et al. (1995)
Dumas,n20w20.002.txt,286,*,*,Dumas et al. (1995)
Dumas,n20w20.003.txt,394,*,*,Dumas et al. (1995)
Dumas,n20w20.004.txt,396,*,*,Dumas et al. (1995)
Dumas,n20w20.005.txt,352,*,*,Dumas et al. (1995)
Dumas,n20w40.001.txt,254,*,*,Dumas et al. (1995)
Dumas,n20w40.002.txt,333,*,*,Dumas et al. (1995)
Dumas,n20w40.003.txt,317,*,*,Dumas et al. (1995)
Dumas,n20w40.004.txt,388,*,*,Dumas et al. (1995)
Dumas,n20w40.005.txt,288,*,*,Dumas et al. (1995)
Dumas,n20w60.001.txt,335,*,*,Dumas et al. (1995)
Dumas,n20w60.002.txt,244,*,*,Dumas et al. (1995)
Dumas,n20w60.003.txt,352,*,*,Dumas et al. (1995)
Dumas,n20w60.004.txt,280,*,*,Dumas et al. (1995)
Dumas,n20w60.005.txt,338,*,*,Dumas et al. (1995)
Dumas,n20w80.001.txt,329,*,*,Dumas et al. (1995)
Dumas,n20w80.002.txt,338,*,*,Dumas et al. (1995)
Dumas,n20w80.003.txt,320,*,*,Dumas et al. (1995)
Dumas,n20w80.004.txt,304,*,*,Dumas et al. (1995)
Dumas,n20w80.005.txt,264,*,*,Dumas et al. (1995)
